wl_nm,b,g,r,re,nir
874,0.00121,0.00410,0.00370,0.00115,0.03770
875,0.00172,0.00475,0.00361,0.00151,0.02931
876,0.00274,0.00492,0.00369,0.00115,0.02428
877,0.00211,0.00471,0.00386,0.00216,0.01906
878,0.00084,0.00381,0.00416,0.00155,0.01518
879,0.00185,0.00333,0.00369,0.00192,0.01203
880,0.00085,0.00388,0.00417,0.00198,0.01036
881,0.00214,0.00321,0.00351,0.00112,0.00822
882,0.00266,0.00514,0.00353,0.00125,0.00667
883,0.00121,0.00492,0.00473,0.00096,0.00530
884,0.00122,0.00378,0.00400,0.00084,0.00478
885,0.00204,0.00385,0.00341,0.00159,0.00417
886,0.00254,0.00478,0.00308,0.00208,0.00392
887,0.00207,0.00468,0.00385,0.00149,0.00340
888,0.00189,0.00330,0.00359,0.00143,0.00270
889,0.00106,0.00499,0.00438,0.00065,0.00237
890,0.00157,0.00436,0.00366,0.00111,0.00222
891,0.00274,0.00330,0.00360,0.00119,0.00184
892,0.00156,0.00501,0.00428,0.00068,0.00193
893,0.00208,0.00441,0.00301,0.00195,0.00199
894,0.00253,0.00332,0.00407,0.00075,0.00167
895,0.00119,0.00316,0.00397,0.00133,0.00166
896,0.00277,0.00491,0.00452,0.00103,0.00164
897,0.00171,0.00352,0.00390,0.00232,0.00163
898,0.00100,0.00412,0.00400,0.00085,0.00162
899,0.00147,0.00465,0.00327,0.00189,0.00161
900,0.00235,0.00401,0.00322,0.00188,0.00160
