wl_nm,b,g,r,re,nir
477,0.84347,0.00172,0.02052,0.00190,0.00060
478,0.85334,0.00189,0.02275,0.00084,0.00043
479,0.85058,0.00199,0.01954,0.00130,0.00020
480,0.84074,0.00142,0.01156,0.00055,0.00032
481,0.83746,0.00112,0.00788,0.00135,0.00036
482,0.83136,0.00137,0.00603,0.00027,0.00031
483,0.81000,0.00168,0.00485,0.00000,0.00052
484,0.78667,0.00184,0.00466,0.00000,0.00050
485,0.76209,0.00156,0.00440,0.00008,0.00045
486,0.73668,0.00155,0.00484,0.00049,0.00039
487,0.69904,0.00116,0.00580,0.00098,0.00028
488,0.67779,0.00106,0.00683,0.00073,0.00033
489,0.64140,0.00122,0.00647,0.00153,0.00044
490,0.56540,0.00101,0.00602,0.00281,0.00060
491,0.37528,0.00102,0.00565,0.00127,0.00103
492,0.24561,0.00062,0.00544,0.00142,0.00135
493,0.14759,0.00075,0.00507,0.00071,0.00137
494,0.08471,0.00106,0.00457,0.00079,0.00113
495,0.03746,0.00100,0.00448,0.00149,0.00051
496,0.02274,0.00089,0.00470,0.00109,0.00053
497,0.01444,0.00111,0.00536,0.00147,0.00049
498,0.00992,0.00126,0.00607,0.00054,0.00043
499,0.00634,0.00101,0.00811,0.00107,0.00030
500,0.00489,0.00140,0.01035,0.00045,0.00037
501,0.00416,0.00131,0.01221,0.00045,0.00040
502,0.00353,0.00147,0.01470,0.00120,0.00030
503,0.00329,0.00171,0.01610,0.00149,0.00019
504,0.00352,0.00143,0.01749,0.00118,0.00036
505,0.00403,0.00175,0.01966,0.00066,0.00034
506,0.00392,0.00097,0.02806,0.00079,0.00043
507,0.00321,0.00088,0.03409,0.00043,0.00054
508,0.00237,0.00110,0.03544,0.00036,0.00049
509,0.00148,0.00134,0.02697,0.00007,0.00035
510,0.00101,0.00121,0.02133,0.00112,0.00046
511,0.00089,0.00137,0.01815,0.00063,0.00046
512,0.00093,0.00166,0.01864,0.00014,0.00044
513,0.00077,0.00132,0.02708,0.00097,0.00054
514,0.00065,0.00152,0.03451,0.00041,0.00037
515,0.00052,0.00173,0.03419,0.00034,0.00026
516,0.00077,0.00170,0.01913,0.00007,0.00031
517,0.00064,0.00166,0.01114,0.00000,0.00029
518,0.00061,0.00194,0.00645,0.00000,0.00031
519,0.00053,0.00215,0.00474,0.00013,0.00033
520,0.00041,0.00230,0.00343,0.00067,0.00034
521,0.00051,0.00282,0.00355,0.00173,0.00035
522,0.00076,0.00363,0.00360,0.00254,0.00042
523,0.00066,0.00663,0.00364,0.00792,0.00046
524,0.00044,0.00917,0.00350,0.01574,0.00056
525,0.00049,0.01088,0.00319,0.01550,0.00044
526,0.00050,0.01075,0.00339,0.00968,0.00055
527,0.00053,0.01073,0.00358,0.00347,0.00055
528,0.00058,0.01062,0.00369,0.00230,0.00063
529,0.00042,0.01055,0.00432,0.00183,0.00059
530,0.00046,0.01138,0.00400,0.00072,0.00062
531,0.00067,0.01148,0.00475,0.00066,0.00059
532,0.00077,0.01139,0.00593,0.00060,0.00063
533,0.00114,0.01255,0.00964,0.00189,0.00088
534,0.00153,0.01280,0.01523,0.00081,0.00078
535,0.00167,0.01310,0.01928,0.00127,0.00071
536,0.00120,0.01435,0.01639,0.00183,0.00071
537,0.00106,0.01490,0.01206,0.00169,0.00062
538,0.00123,0.01589,0.00932,0.00128,0.00050
539,0.00119,0.01658,0.00753,0.00145,0.00056
540,0.00084,0.01857,0.00626,0.00200,0.00036
541,0.00069,0.02085,0.00643,0.00245,0.00039
542,0.00058,0.02383,0.00645,0.00255,0.00026
543,0.00041,0.03118,0.00761,0.00246,0.00029
544,0.00050,0.04078,0.00815,0.00256,0.00032
545,0.00053,0.06008,0.01030,0.00332,0.00029
546,0.00069,0.14548,0.01613,0.00351,0.00051
547,0.00068,0.28544,0.02071,0.00337,0.00050
548,0.00070,0.48947,0.02205,0.00377,0.00052
549,0.00117,0.72712,0.01547,0.00410,0.00077
550,0.00137,0.78699,0.01088,0.00398,0.00111
551,0.00203,0.81579,0.00739,0.00306,0.00179
552,0.00297,0.85809,0.00518,0.00347,0.00274
553,0.00284,0.87396,0.00472,0.00295,0.00294
554,0.00230,0.87586,0.00435,0.00330,0.00279
555,0.00122,0.86043,0.00307,0.00271,0.00172
556,0.00085,0.85073,0.00275,0.00167,0.00121
557,0.00081,0.84607,0.00292,0.00092,0.00080
558,0.00046,0.85034,0.00273,0.00200,0.00059
559,0.00027,0.85672,0.00281,0.00182,0.00049
560,0.00029,0.86469,0.00307,0.00187,0.00039
561,0.00034,0.87578,0.00319,0.00199,0.00026
562,0.00029,0.88190,0.00315,0.00170,0.00028
563,0.00027,0.87966,0.00340,0.00248,0.00031
564,0.00036,0.86237,0.00289,0.00316,0.00035
565,0.00027,0.82824,0.00278,0.00360,0.00035
566,0.00023,0.77089,0.00275,0.00350,0.00032
567,0.00029,0.63008,0.00262,0.00448,0.00046
568,0.00022,0.49714,0.00288,0.00861,0.00055
569,0.00019,0.35455,0.00284,0.01156,0.00057
570,0.00023,0.17853,0.00327,0.01271,0.00056
571,0.00028,0.10354,0.00365,0.00917,0.00061
572,0.00030,0.05883,0.00419,0.00565,0.00057
573,0.00031,0.02714,0.00490,0.00322,0.00048
574,0.00034,0.01809,0.00511,0.00271,0.00056
575,0.00033,0.01147,0.00512,0.00141,0.00058
576,0.00036,0.00929,0.00708,0.00186,0.00071
577,0.00034,0.00807,0.00962,0.00141,0.00079
578,0.00023,0.00697,0.01049,0.00140,0.00101
579,0.00028,0.00669,0.00828,0.00169,0.00104
580,0.00038,0.00643,0.00551,0.00190,0.00123
581,0.00052,0.00619,0.00387,0.00141,0.00101
582,0.00048,0.00600,0.00369,0.00130,0.00078
583,0.00059,0.00614,0.00366,0.00119,0.00075
584,0.00157,0.00613,0.00695,0.00017,0.00063
585,0.00296,0.00689,0.01178,0.00115,0.00113
586,0.00348,0.00671,0.01392,0.00086,0.00076
587,0.00293,0.00628,0.01153,0.00034,0.00061
588,0.00208,0.00584,0.00788,0.00006,0.00063
589,0.00113,0.00608,0.00421,0.00086,0.00076
590,0.00069,0.00636,0.00288,0.00086,0.00078
591,0.00077,0.00678,0.00256,0.00199,0.00082
592,0.00059,0.00643,0.00166,0.00395,0.00076
593,0.00036,0.00630,0.00132,0.00610,0.00072
594,0.00029,0.00712,0.00109,0.00547,0.00057
595,0.00041,0.00683,0.00101,0.00315,0.00055
596,0.00030,0.00682,0.00094,0.00165,0.00065
597,0.00020,0.00700,0.00083,0.00065,0.00066
598,0.00027,0.00727,0.00086,0.00059,0.00074
599,0.00027,0.00741,0.00096,0.00122,0.00082
600,0.00017,0.00747,0.00090,0.00047,0.00075
601,0.00023,0.00802,0.00066,0.00031,0.00076
602,0.00027,0.00813,0.00086,0.00082,0.00078
603,0.00024,0.00878,0.00089,0.00126,0.00075
604,0.00016,0.00982,0.00085,0.00060,0.00089
605,0.00022,0.01178,0.00067,0.00069,0.00105
606,0.00028,0.01303,0.00062,0.00029,0.00115
607,0.00019,0.01171,0.00054,0.00048,0.00118
608,0.00033,0.00959,0.00062,0.00101,0.00135
609,0.00020,0.00770,0.00063,0.00005,0.00125
610,0.00027,0.00560,0.00083,0.00049,0.00101
611,0.00027,0.00431,0.00052,0.00008,0.00096
612,0.00012,0.00337,0.00055,0.00047,0.00080
613,0.00022,0.00280,0.00047,0.00079,0.00082
614,0.00021,0.00232,0.00055,0.00004,0.00083
615,0.00025,0.00209,0.00070,0.00041,0.00092
616,0.00025,0.00223,0.00071,0.00042,0.00093
617,0.00019,0.00185,0.00070,0.00024,0.00093
618,0.00020,0.00195,0.00061,0.00028,0.00100
619,0.00012,0.00195,0.00072,0.00043,0.00099
620,0.00023,0.00169,0.00068,0.00010,0.00086
621,0.00031,0.00216,0.00075,0.00058,0.00088
622,0.00048,0.00197,0.00081,0.00014,0.00100
623,0.00070,0.00189,0.00104,0.00054,0.00113
624,0.00072,0.00183,0.00090,0.00000,0.00121
625,0.00064,0.00181,0.00100,0.00000,0.00132
626,0.00050,0.00215,0.00102,0.00030,0.00137
627,0.00027,0.00188,0.00078,0.00050,0.00131
628,0.00028,0.00192,0.00070,0.00116,0.00127
629,0.00026,0.00223,0.00094,0.00096,0.00119
630,0.00029,0.00211,0.00103,0.00030,0.00110
631,0.00026,0.00204,0.00096,0.00000,0.00109
632,0.00031,0.00198,0.00068,0.00036,0.00104
633,0.00024,0.00239,0.00055,0.00015,0.00103
634,0.00024,0.00236,0.00103,0.00000,0.00081
635,0.00022,0.00223,0.00091,0.00000,0.00093
636,0.00037,0.00265,0.00112,0.00053,0.00094
637,0.00022,0.00229,0.00098,0.00059,0.00096
638,0.00035,0.00246,0.00105,0.00096,0.00094
639,0.00040,0.00216,0.00082,0.00080,0.00087
640,0.00032,0.00241,0.00054,0.00075,0.00099
641,0.00024,0.00293,0.00084,0.00054,0.00108
642,0.00045,0.00271,0.00113,0.00054,0.00111
643,0.00050,0.00327,0.00160,0.00033,0.00133
644,0.00043,0.00352,0.00127,0.00000,0.00143
645,0.00035,0.00432,0.00086,0.00011,0.00164
646,0.00068,0.00479,0.00144,0.00017,0.00181
647,0.00069,0.00492,0.00135,0.00061,0.00230
648,0.00075,0.00498,0.00151,0.00050,0.00262
